Name,3I GROUP  ,ABERDEEN ASSET MAN.  ,ACKERMANS & VAN HAAREN  ,AMP  ,ASX  ,ACOM  ,AMERICAN EXPRESS  ,BANK OF NEW YORK MELLON  ,BLACKROCK  ,CI FINANCIAL  ,CLOSE BROTHERS GROUP  ,CIE.NALE.A PTF.  ,CAPITAL ONE FINL.  ,CHALLENGER FINL.SVS.GP.  ,CHARLES SCHWAB  ,CHINA EVERBRIGHT  ,COMPUTERSHARE  ,CREDIT SAISON  ,DAIWA SECURITIES GROUP  ,EURAZEO  ,EATON VANCE NV.  ,EQUIFAX  ,FRANKLIN RESOURCES  ,GAM HOLDING  ,GBL NEW  ,GOLDMAN SACHS GP.  ,ICAP  ,IGM FINL.  ,INDUSTRIVARDEN 'A'  ,INTERMEDIATE CAPITAL GP.  ,KINNEVIK 'B'  ,INVESTOR 'B'  ,LEGG MASON  ,MAN GROUP  ,MARFIN INV.GP.HDG.  ,MACQUARIE GROUP  ,MITSUB.UFJ LSE.& FINANCE  ,MIZUHO SECURITIES  ,MOODY'S  ,MORGAN STANLEY  ,NOMURA HDG.  ,ORIX  ,PARGESA 'B'  ,PROVIDENT FINANCIAL  ,PERPETUAL  ,RATOS 'B'  ,SCHRODERS  ,SLM  ,SOFINA  ,STATE STREET  ,T ROWE PRICE GP.  ,TD AMERITRADE HOLDING  ,WENDEL  
12/26/08,90,259.9,1289.4,34.5,771.4,85,427.1,1505.8,894.9,1081.4,4446.6,388.8,552.7,97.6,4204.7,578.7,5396.5,517.7,229.7,1852.8,29447.8,3803.7,1677373,1124.3,695.1,108,600,1386.1,960.5,323.7,303.4,1019.9,728.5,778.9,419.5,438.5,92.7,146.3,172.6,227.7,179.7,760.1,360.7,8303.8,621.8,505.3,24701.6,1042.5,1109.5,9483.3,3984.2,794.5,209
12/29/08,92.7,254.8,1308.6,34.5,765.7,84.8,422.1,1487.5,879.3,1140.5,4325.7,400.4,549.6,102.1,4144,574.4,5263.2,495.7,228,1864.8,28703.1,3774.9,1673155,1168.7,718.9,108.8,600,1425.5,987.7,319.3,313.9,1022.1,725.2,782.3,426.7,430.9,92.3,147.8,166.5,231.6,180.4,731.5,353.1,7942.7,631.3,523.1,25943.3,1052.6,1109.5,9467.4,3887.2,788.3,223.1
12/30/08,97.1,265.6,1357.2,34.3,783.1,87.1,429.3,1575.2,918.1,1173.3,4571.8,390.7,578.6,109.4,4279.3,562.2,5326.3,486.2,225.4,1867.1,30875.2,3933.6,1783405,1182.9,720.7,116.6,611.2,1496.5,1037.6,321,331,1035.4,775.1,789,425.3,443.1,93.5,148.6,168.5,236.1,179.2,714.3,365.9,7942.7,634.5,535,24979.2,1095.3,1047.3,9938.4,4153.2,825.2,222.4
12/31/08,100,304.4,1372.3,34.6,797,87.1,442.4,1623.9,949.7,1189.7,4567.5,392.4,597.9,114.7,4464.2,581.8,5473.7,486.2,225.4,1957.6,32597.4,4006.1,1793811,1182.9,704.8,119.9,611.7,1554,1037.6,311,331,1035.4,798.1,798.2,420.9,443.2,93.5,148.6,168.6,249.3,179.2,714.3,365.9,7762.2,674.4,535,25066.8,1119.2,1108.3,10406.7,4404.2,876.9,222.6
1/1/09,100,304.4,1372.3,34.6,797,87.1,442.4,1623.9,949.7,1189.7,4567.5,392.4,597.9,114.7,4464.2,581.8,5473.7,486.2,225.4,1957.6,32597.4,4006.1,1793811,1182.9,704.8,119.9,611.7,1554,1037.6,311,331,1035.4,798.1,798.2,420.9,443.2,93.5,148.6,168.6,249.3,179.2,714.3,365.9,7762.2,674.4,535,25066.8,1119.2,1108.3,10406.7,4404.2,876.9,222.6
1/2/09,103.5,321,1431.3,33.8,790.6,87.1,461,1634.8,984.9,1266.1,4748.8,397.3,624.6,112.6,4467,595.8,5466.7,486.2,225.4,1983.8,34133.4,4176.8,1873123,1182.9,738.2,123.3,634,1593.4,1055.7,320.8,345.4,1090.7,828.7,803.3,415.1,448.6,93.5,148.6,186,264.1,179.2,714.3,365.9,8028.5,672.7,539,25563.5,1140.6,1126.8,10875,4523.5,876.9,238.9
1/5/09,103.9,312.7,1476.7,34.1,781.7,83.4,475.8,1589.5,982.5,1288.2,4636.6,393,619.5,107.6,4312.4,609.9,5263.2,508.1,231.4,1983.8,33155.9,4187.3,1880155,1257.5,744.5,126.2,666.5,1567.1,1055.7,324.2,352,1084.1,858.2,821.8,423.8,459.4,92.3,154.8,186.1,273.9,188.3,725.7,367.2,7951.8,625.3,531.1,24906.1,1222.3,1149.9,10988.8,4599.3,851.7,233.9
1/6/09,125.8,315.9,1447.7,34.7,764,84.5,502.5,1587.2,990,1329.2,4705.6,413.5,640.1,105.3,4591.2,660,5600,514.1,229.3,1983.8,33823,4279.5,1969030,1276.4,766.6,126.1,716,1577.2,1055.7,345.3,352,1084.1,923.4,964.6,423.8,477.8,92.5,152.5,192.9,304.3,182.9,720,385,7726.1,638.9,531.1,26264.6,1354.4,1210,11713.8,4535.9,871.4,240.8
1/7/09,133.3,300.6,1396.8,36.1,776.7,84.3,477.2,1535,925.9,1322.7,4489.8,434.1,594,104.7,4431.1,644.1,5347.4,520.5,229.7,1978,31449.2,4169.2,1815467,1272.8,763.6,120.1,692.6,1561.4,1082.9,359.9,363.8,1092.9,841.8,873.8,429.6,519.2,93.3,158.7,191,281.3,187.3,794.4,371.6,8123.3,640,528.1,25227.5,1325.5,1261.1,11171.4,4236.4,829.5,241.8
1/8/09,129.3,300.6,1394.9,35.4,765.9,82.2,477.9,1512.1,942.5,1300.5,4386.2,417.1,579.9,102.4,4458.7,608.7,5122.8,485.8,220.3,1962.8,32256,4229.6,1821373,1274.6,756.1,121.4,661.7,1550,1069.3,361.2,361.2,1088.5,877.5,850.3,455.8,500,90.2,151.7,190.1,292.5,175,778.7,377.4,7870.5,605.3,521.1,26264.6,1278.9,1209.6,11436,4226.5,824.6,246.3
1/9/09,128,300.6,1384.9,35.7,765.9,82.7,458.6,1466.8,901.2,1312.8,4343,402.8,549.9,100.9,4268.2,606.2,5263.2,489.8,223.7,1940.1,31278.6,4090.7,1746561,1270.5,747.6,119.2,661.2,1492.2,1069.3,386.5,348,1057.5,850.9,819.2,444.1,482.8,91,156.4,193.3,296.3,179,751.5,376.3,7672,595.5,511.2,25154.4,1339.3,1257,10996.8,3953.1,803.7,240.3
1/12/09,122,304.4,1357.6,35,764.2,82.7,449,1435.9,874.5,1271.8,4338.7,403.6,508.9,95.6,4193.7,587.3,5143.9,489.8,223.7,1910.9,30006.3,4049.9,1674561,1257.5,744.5,110.4,630.3,1457.5,1037.6,363.1,342.8,1033.2,820.3,773,432.5,472.6,91,156.4,193,292.1,179,751.5,376.3,7816.4,566,497.4,23810.5,1421,1214.7,10319.4,3822.6,794.5,229.8
